ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
6070,Uttar Pradesh,Lucknow,Locality_171,Apartment,1,3981,282.22,0.07,1990,Furnished,27,5,35,7,8,Low,No,No,"Garden, Playground, Gym, Pool",North,Owner,Ready_to_Move
6071,Kerala,Trivandrum,Locality_55,Villa,1,2393,420.64,0.18,1998,Semi-furnished,15,26,27,4,8,Low,Yes,Yes,"Gym, Clubhouse, Pool",East,Builder,Ready_to_Move
6072,Bihar,Gaya,Locality_487,Villa,5,1947,412.14,0.21,2008,Furnished,27,1,17,3,8,High,Yes,No,"Clubhouse, Playground, Pool",South,Broker,Under_Construction
6073,Andhra Pradesh,Vijayawada,Locality_493,Villa,3,1727,52.78,0.03,2012,Semi-furnished,10,11,13,6,9,High,No,Yes,"Clubhouse, Garden",West,Owner,Ready_to_Move
6074,Kerala,Trivandrum,Locality_382,Independent House,5,4589,236.7,0.05,2004,Semi-furnished,15,6,21,9,4,Low,Yes,No,Gym,West,Broker,Ready_to_Move
6075,Kerala,Trivandrum,Locality_293,Apartment,4,3481,350.85,0.1,2020,Semi-furnished,22,12,5,5,6,Low,No,No,"Gym, Clubhouse",South,Broker,Under_Construction
6076,Bihar,Gaya,Locality_44,Independent House,2,606,431.44,0.71,2016,Unfurnished,15,22,9,1,5,Medium,No,No,"Gym, Playground",East,Builder,Under_Construction
6077,Gujarat,Surat,Locality_313,Villa,5,610,250.34,0.41,2003,Semi-furnished,1,2,22,8,8,Low,No,Yes,"Garden, Pool, Playground, Clubhouse, Gym",North,Builder,Under_Construction
6078,Telangana,Hyderabad,Locality_58,Independent House,3,2227,120.14,0.05,1999,Furnished,26,11,26,9,8,Medium,No,No,"Clubhouse, Playground, Garden",South,Owner,Ready_to_Move
6079,Kerala,Trivandrum,Locality_143,Apartment,2,3032,133.73,0.04,1990,Semi-furnished,14,7,35,9,5,Medium,Yes,Yes,"Pool, Gym, Playground",North,Owner,Ready_to_Move
6080,Uttarakhand,Dehradun,Locality_377,Apartment,5,4402,109.55,0.02,2009,Furnished,21,22,16,3,7,Medium,Yes,No,"Pool, Playground, Gym, Clubhouse",East,Builder,Ready_to_Move
6081,Karnataka,Mysore,Locality_419,Independent House,3,2299,465.69,0.2,1997,Furnished,23,13,28,3,4,Medium,Yes,Yes,"Playground, Clubhouse, Gym",West,Owner,Ready_to_Move
6082,Assam,Silchar,Locality_234,Villa,5,2701,215.57,0.08,1997,Unfurnished,2,18,28,10,4,Medium,No,Yes,"Garden, Pool, Playground",West,Broker,Ready_to_Move
6083,West Bengal,Durgapur,Locality_492,Villa,1,4065,476.94,0.12,2012,Furnished,21,14,13,4,7,Low,No,Yes,"Clubhouse, Gym, Garden",East,Builder,Ready_to_Move
6084,Bihar,Patna,Locality_231,Villa,2,3079,327.89,0.11,2016,Semi-furnished,2,23,9,8,1,High,No,Yes,"Garden, Gym, Pool, Playground",West,Owner,Under_Construction
6085,Bihar,Gaya,Locality_197,Villa,2,899,242.53,0.27,2009,Semi-furnished,30,2,16,1,3,Low,Yes,No,"Clubhouse, Playground",West,Broker,Under_Construction
6086,Delhi,Dwarka,Locality_309,Villa,3,3072,257.54,0.08,1997,Semi-furnished,24,6,28,7,4,Medium,No,Yes,"Playground, Gym, Clubhouse",South,Builder,Under_Construction
6087,Assam,Guwahati,Locality_206,Apartment,4,4664,477.6,0.1,2009,Unfurnished,5,25,16,2,6,Low,No,Yes,"Pool, Garden",North,Owner,Under_Construction
6088,Tamil Nadu,Chennai,Locality_243,Villa,4,915,361.97,0.4,1994,Semi-furnished,26,24,31,8,1,Low,No,No,"Pool, Garden, Clubhouse, Gym, Playground",East,Broker,Under_Construction
6089,Gujarat,Ahmedabad,Locality_31,Villa,2,860,18.81,0.02,1996,Unfurnished,1,17,29,6,10,Medium,No,Yes,Clubhouse,South,Owner,Ready_to_Move
6090,Jharkhand,Ranchi,Locality_382,Villa,3,2617,300.68,0.11,2020,Unfurnished,19,20,5,8,8,Low,Yes,No,Clubhouse,East,Broker,Under_Construction
6091,Chhattisgarh,Raipur,Locality_94,Apartment,5,3831,213.57,0.06,2023,Furnished,6,23,2,7,9,High,Yes,Yes,Pool,North,Owner,Ready_to_Move
6092,West Bengal,Kolkata,Locality_139,Villa,5,2335,372.73,0.16,1992,Unfurnished,0,6,33,7,5,Medium,No,Yes,"Pool, Gym, Clubhouse",North,Owner,Under_Construction
6093,Andhra Pradesh,Vijayawada,Locality_106,Villa,4,3693,243.52,0.07,2020,Furnished,26,5,5,8,3,High,Yes,No,"Clubhouse, Garden, Pool, Playground",North,Owner,Ready_to_Move
6094,Telangana,Hyderabad,Locality_276,Independent House,3,1503,227.22,0.15,2020,Furnished,12,21,5,7,2,Medium,No,No,Garden,North,Owner,Ready_to_Move
6095,Haryana,Faridabad,Locality_348,Villa,1,4719,177.72,0.04,1999,Unfurnished,19,6,26,4,10,High,Yes,Yes,"Playground, Clubhouse, Garden, Pool",North,Owner,Ready_to_Move
6096,Bihar,Patna,Locality_131,Independent House,3,4342,382.96,0.09,2017,Furnished,24,6,8,9,6,Low,Yes,No,Pool,East,Owner,Under_Construction
6097,Maharashtra,Pune,Locality_26,Apartment,3,4610,29.23,0.01,2013,Furnished,16,24,12,5,3,Medium,Yes,No,"Pool, Gym, Garden, Playground, Clubhouse",East,Broker,Under_Construction
6098,Gujarat,Surat,Locality_392,Villa,2,1232,319.01,0.26,1995,Unfurnished,22,30,30,9,3,Medium,Yes,Yes,"Pool, Gym, Playground",East,Builder,Under_Construction
6099,Bihar,Patna,Locality_232,Villa,3,2183,22.88,0.01,1990,Unfurnished,6,15,35,10,7,High,No,Yes,"Pool, Playground, Garden",West,Owner,Ready_to_Move
6100,Jharkhand,Jamshedpur,Locality_439,Villa,1,1339,246.49,0.18,2011,Furnished,13,25,14,10,1,Low,No,Yes,Pool,South,Builder,Under_Construction
6101,Uttar Pradesh,Noida,Locality_190,Independent House,1,2972,70.4,0.02,1994,Semi-furnished,19,12,31,6,6,High,Yes,Yes,"Garden, Clubhouse, Gym, Playground, Pool",North,Broker,Under_Construction
6102,Bihar,Patna,Locality_471,Villa,1,3931,163.04,0.04,2006,Furnished,28,15,19,2,9,Medium,No,No,"Garden, Gym",East,Builder,Ready_to_Move
6103,Delhi,Dwarka,Locality_264,Villa,1,920,235.94,0.26,2011,Unfurnished,1,26,14,2,5,Low,Yes,No,"Pool, Gym, Clubhouse",North,Builder,Ready_to_Move
6104,Punjab,Amritsar,Locality_158,Villa,4,2381,163.27,0.07,2017,Unfurnished,11,19,8,3,10,Low,No,Yes,"Pool, Clubhouse",West,Owner,Under_Construction
6105,Haryana,Faridabad,Locality_468,Apartment,4,3703,479.77,0.13,2021,Unfurnished,21,16,4,7,6,Low,No,Yes,"Pool, Clubhouse, Gym, Garden",South,Builder,Ready_to_Move
6106,Gujarat,Surat,Locality_467,Apartment,1,3845,205.08,0.05,1992,Unfurnished,25,18,33,4,10,Medium,Yes,Yes,"Clubhouse, Pool, Garden",West,Builder,Under_Construction
6107,Tamil Nadu,Coimbatore,Locality_191,Apartment,2,2723,127.58,0.05,1999,Semi-furnished,25,18,26,2,4,Medium,Yes,No,"Gym, Playground, Clubhouse, Garden",West,Broker,Ready_to_Move
6108,Delhi,Dwarka,Locality_303,Villa,3,4414,93.21,0.02,2013,Furnished,11,29,12,7,4,High,Yes,No,"Playground, Garden, Pool, Clubhouse",South,Builder,Under_Construction
6109,Tamil Nadu,Coimbatore,Locality_56,Apartment,1,2560,37.22,0.01,2019,Unfurnished,5,7,6,3,8,High,Yes,No,"Clubhouse, Gym",West,Owner,Under_Construction
6110,Bihar,Gaya,Locality_191,Independent House,4,3776,56.05,0.01,2009,Unfurnished,3,8,16,6,8,Medium,No,Yes,"Garden, Pool, Clubhouse",West,Broker,Under_Construction
6111,Madhya Pradesh,Indore,Locality_425,Villa,1,1135,346.8,0.31,2013,Furnished,28,18,12,4,2,Medium,No,Yes,"Playground, Pool, Gym",North,Builder,Under_Construction
6112,Delhi,Dwarka,Locality_258,Independent House,2,2102,133.79,0.06,1991,Unfurnished,14,3,34,5,5,Low,Yes,Yes,"Pool, Garden, Playground, Clubhouse, Gym",West,Owner,Under_Construction
6113,Assam,Silchar,Locality_66,Apartment,1,3525,71.89,0.02,2001,Semi-furnished,25,14,24,5,9,Medium,No,No,"Garden, Playground, Gym, Clubhouse",South,Builder,Under_Construction
6114,Andhra Pradesh,Vishakhapatnam,Locality_194,Villa,3,1062,112.54,0.11,1991,Semi-furnished,25,22,34,9,8,Medium,No,No,"Garden, Playground",East,Owner,Under_Construction
6115,Assam,Silchar,Locality_418,Independent House,2,4498,120.65,0.03,1991,Furnished,18,3,34,3,4,Low,No,Yes,"Gym, Pool",West,Broker,Ready_to_Move
6116,Uttarakhand,Dehradun,Locality_437,Independent House,2,3966,105.5,0.03,1997,Furnished,23,10,28,10,1,High,No,Yes,"Playground, Garden, Gym",East,Owner,Ready_to_Move
6117,Gujarat,Ahmedabad,Locality_57,Independent House,5,4838,110.72,0.02,1997,Unfurnished,23,24,28,5,4,Medium,Yes,Yes,"Pool, Garden, Gym",South,Broker,Ready_to_Move
6118,Andhra Pradesh,Vijayawada,Locality_112,Independent House,3,3535,30.89,0.01,2020,Furnished,26,29,5,3,4,Medium,No,No,"Pool, Playground, Garden, Gym",West,Owner,Under_Construction
6119,Chhattisgarh,Raipur,Locality_487,Villa,4,3574,180.47,0.05,1994,Semi-furnished,25,2,31,5,3,Low,Yes,Yes,"Pool, Clubhouse, Garden",South,Builder,Under_Construction
6120,Andhra Pradesh,Vishakhapatnam,Locality_127,Villa,2,978,161.03,0.16,2023,Furnished,17,27,2,9,6,High,Yes,Yes,"Gym, Clubhouse, Playground, Garden",East,Broker,Ready_to_Move
6121,Karnataka,Bangalore,Locality_487,Independent House,3,3551,168.05,0.05,2023,Furnished,21,14,2,10,10,Medium,No,No,Garden,East,Owner,Under_Construction
6122,Gujarat,Ahmedabad,Locality_120,Independent House,1,762,426.88,0.56,2019,Unfurnished,10,15,6,7,3,Medium,No,Yes,"Garden, Gym, Playground, Clubhouse",West,Owner,Ready_to_Move
6123,Haryana,Gurgaon,Locality_179,Villa,5,4875,193.88,0.04,2016,Furnished,12,19,9,6,9,Medium,No,No,"Pool, Clubhouse, Playground, Garden, Gym",East,Owner,Ready_to_Move
6124,Jharkhand,Ranchi,Locality_14,Villa,2,1586,99.77,0.06,2003,Furnished,28,18,22,5,10,Medium,Yes,Yes,"Clubhouse, Garden, Gym, Pool, Playground",North,Builder,Under_Construction
6125,West Bengal,Kolkata,Locality_295,Villa,4,2411,51.9,0.02,2022,Unfurnished,28,2,3,8,8,Low,Yes,No,"Garden, Pool, Gym, Playground",East,Broker,Ready_to_Move
6126,Gujarat,Ahmedabad,Locality_200,Villa,2,4638,112.7,0.02,2018,Furnished,14,7,7,6,1,High,No,No,"Clubhouse, Pool, Gym",North,Owner,Under_Construction
6127,West Bengal,Kolkata,Locality_259,Villa,2,3612,297.37,0.08,2010,Unfurnished,21,12,15,8,1,Medium,Yes,Yes,Clubhouse,North,Owner,Ready_to_Move
6128,Gujarat,Ahmedabad,Locality_395,Villa,3,1045,144.4,0.14,1993,Furnished,14,21,32,4,10,Low,No,No,"Clubhouse, Gym",East,Builder,Under_Construction
6129,Karnataka,Bangalore,Locality_30,Villa,1,3771,157.41,0.04,2004,Furnished,23,14,21,1,8,Low,Yes,Yes,Playground,East,Builder,Ready_to_Move
6130,Telangana,Hyderabad,Locality_379,Apartment,2,2960,298.64,0.1,2006,Semi-furnished,5,9,19,7,2,Medium,Yes,Yes,Garden,West,Owner,Ready_to_Move
6131,Kerala,Kochi,Locality_291,Apartment,1,3555,405.48,0.11,2018,Semi-furnished,8,10,7,10,5,High,Yes,No,"Pool, Playground, Clubhouse, Gym, Garden",West,Builder,Ready_to_Move
6132,Kerala,Kochi,Locality_61,Villa,4,3921,262.98,0.07,2012,Furnished,8,18,13,8,6,Low,Yes,No,"Clubhouse, Garden, Gym",South,Builder,Under_Construction
6133,Bihar,Patna,Locality_115,Apartment,3,3781,298.03,0.08,2006,Furnished,6,3,19,7,7,Low,No,No,"Clubhouse, Pool",West,Owner,Under_Construction
6134,Kerala,Trivandrum,Locality_106,Independent House,2,1188,44.5,0.04,2010,Semi-furnished,28,18,15,9,4,Medium,No,No,"Pool, Garden, Gym, Playground",North,Owner,Ready_to_Move
6135,Gujarat,Surat,Locality_120,Apartment,1,1951,119.57,0.06,2014,Semi-furnished,29,10,11,1,1,Medium,Yes,No,"Gym, Pool, Garden, Clubhouse, Playground",West,Builder,Ready_to_Move
6136,Tamil Nadu,Chennai,Locality_33,Independent House,4,687,107.88,0.16,2019,Furnished,18,2,6,7,2,Medium,Yes,Yes,"Playground, Garden, Clubhouse",North,Builder,Ready_to_Move
6137,West Bengal,Kolkata,Locality_136,Independent House,5,2541,383.48,0.15,1992,Unfurnished,19,20,33,8,6,High,Yes,No,"Pool, Clubhouse, Garden",South,Broker,Under_Construction
6138,Uttar Pradesh,Lucknow,Locality_478,Apartment,4,764,139.98,0.18,2017,Furnished,22,3,8,9,2,Medium,Yes,Yes,"Playground, Pool, Garden, Gym",West,Owner,Ready_to_Move
6139,Maharashtra,Mumbai,Locality_199,Apartment,3,1865,430.57,0.23,2005,Unfurnished,7,13,20,5,9,Low,Yes,Yes,"Gym, Pool, Playground, Clubhouse, Garden",North,Builder,Ready_to_Move
6140,Uttarakhand,Dehradun,Locality_322,Independent House,2,4115,72.59,0.02,1990,Unfurnished,8,7,35,10,4,Low,No,Yes,"Garden, Pool",West,Builder,Under_Construction
6141,Punjab,Ludhiana,Locality_477,Apartment,4,555,89.28,0.16,2005,Furnished,14,18,20,2,6,Low,No,Yes,"Pool, Gym, Clubhouse, Playground, Garden",South,Broker,Ready_to_Move
6142,Maharashtra,Mumbai,Locality_148,Villa,1,1805,442.4,0.25,2017,Furnished,9,28,8,6,3,Low,Yes,No,Pool,West,Broker,Ready_to_Move
6143,Bihar,Gaya,Locality_213,Apartment,2,4311,134.87,0.03,2009,Unfurnished,30,12,16,5,3,High,No,Yes,"Pool, Gym, Garden",West,Builder,Under_Construction
6144,Odisha,Cuttack,Locality_18,Villa,1,3555,47.64,0.01,1996,Unfurnished,15,6,29,6,10,Low,Yes,No,"Gym, Playground, Garden",West,Broker,Under_Construction
6145,Odisha,Cuttack,Locality_277,Independent House,4,3772,395.61,0.1,2016,Unfurnished,11,13,9,8,6,Medium,Yes,Yes,"Clubhouse, Pool, Gym",West,Broker,Ready_to_Move
6146,Chhattisgarh,Raipur,Locality_363,Independent House,1,2269,96.73,0.04,2000,Semi-furnished,10,19,25,4,10,Medium,Yes,No,"Clubhouse, Playground",North,Broker,Under_Construction
6147,Maharashtra,Nagpur,Locality_425,Independent House,5,4095,437.04,0.11,2015,Unfurnished,27,2,10,9,5,Medium,Yes,No,"Pool, Clubhouse",North,Owner,Under_Construction
6148,Uttarakhand,Dehradun,Locality_401,Independent House,4,2561,350.24,0.14,2012,Semi-furnished,22,7,13,2,6,Low,No,No,"Playground, Pool, Garden",South,Builder,Under_Construction
6149,Odisha,Bhubaneswar,Locality_267,Villa,5,4016,15.97,0.0,2004,Semi-furnished,18,4,21,9,9,Low,Yes,No,"Garden, Gym, Pool",South,Broker,Under_Construction
6150,Rajasthan,Jodhpur,Locality_274,Villa,2,1208,384.66,0.32,2009,Unfurnished,7,23,16,2,7,Medium,Yes,No,"Gym, Pool, Playground",West,Owner,Under_Construction
6151,Uttar Pradesh,Lucknow,Locality_302,Apartment,3,4777,261.73,0.05,1990,Unfurnished,12,5,35,7,3,Medium,Yes,No,"Clubhouse, Pool",North,Broker,Under_Construction
6152,Jharkhand,Jamshedpur,Locality_492,Independent House,4,2034,41.21,0.02,2017,Furnished,3,27,8,6,2,Low,No,Yes,"Playground, Gym, Clubhouse, Garden",North,Owner,Ready_to_Move
6153,Odisha,Cuttack,Locality_197,Independent House,5,860,388.49,0.45,2013,Furnished,7,7,12,1,4,High,Yes,Yes,"Gym, Clubhouse, Pool, Garden",North,Owner,Under_Construction
6154,Bihar,Gaya,Locality_76,Independent House,1,670,402.67,0.6,2003,Unfurnished,11,12,22,5,1,High,Yes,No,Clubhouse,East,Owner,Under_Construction
6155,Telangana,Warangal,Locality_10,Villa,5,1307,484.63,0.37,1990,Unfurnished,6,3,35,10,10,High,No,No,"Pool, Gym",East,Broker,Under_Construction
6156,Bihar,Patna,Locality_313,Villa,2,1895,114.32,0.06,1992,Unfurnished,11,17,33,7,2,Low,Yes,No,Garden,North,Owner,Under_Construction
6157,Delhi,New Delhi,Locality_455,Villa,5,2095,14.09,0.01,2017,Unfurnished,21,14,8,9,7,High,Yes,Yes,"Garden, Pool, Gym, Clubhouse",North,Broker,Ready_to_Move
6158,Uttarakhand,Haridwar,Locality_15,Apartment,1,807,20.36,0.03,2012,Semi-furnished,21,9,13,9,1,High,No,No,"Pool, Playground, Clubhouse, Garden",North,Owner,Under_Construction
6159,Uttarakhand,Dehradun,Locality_211,Independent House,1,4461,69.73,0.02,2012,Semi-furnished,23,2,13,3,9,High,No,No,Pool,East,Builder,Under_Construction
6160,Maharashtra,Nagpur,Locality_130,Independent House,5,1871,359.2,0.19,1998,Furnished,17,29,27,5,7,High,Yes,No,"Clubhouse, Playground, Pool",West,Broker,Ready_to_Move
6161,Rajasthan,Jodhpur,Locality_273,Independent House,4,3984,90.7,0.02,1996,Unfurnished,8,8,29,4,1,Low,Yes,No,"Garden, Gym",North,Broker,Ready_to_Move
6162,Chhattisgarh,Bilaspur,Locality_136,Independent House,3,4872,478.89,0.1,2016,Furnished,29,30,9,7,2,Medium,No,No,Clubhouse,South,Owner,Ready_to_Move
6163,Punjab,Ludhiana,Locality_201,Apartment,3,2329,494.22,0.21,2002,Unfurnished,28,26,23,1,7,High,No,Yes,"Gym, Garden, Clubhouse, Playground",West,Broker,Ready_to_Move
6164,Uttarakhand,Haridwar,Locality_424,Apartment,5,1969,432.25,0.22,2016,Semi-furnished,7,16,9,7,7,High,Yes,No,"Clubhouse, Gym, Playground",West,Builder,Under_Construction
6165,Chhattisgarh,Bilaspur,Locality_187,Villa,4,2192,139.22,0.06,2003,Unfurnished,9,15,22,1,10,Low,Yes,No,"Pool, Garden",East,Broker,Ready_to_Move
6166,Uttar Pradesh,Lucknow,Locality_402,Independent House,2,1441,239.92,0.17,2013,Semi-furnished,7,12,12,7,3,Low,No,Yes,"Gym, Playground, Pool",South,Builder,Under_Construction
6167,Karnataka,Bangalore,Locality_178,Villa,3,1582,207.79,0.13,1993,Semi-furnished,29,1,32,8,6,High,Yes,Yes,"Gym, Garden, Pool, Playground",West,Broker,Under_Construction
6168,Gujarat,Surat,Locality_413,Independent House,1,1485,256.67,0.17,1997,Unfurnished,10,7,28,1,8,Low,Yes,No,"Playground, Clubhouse, Gym, Garden, Pool",North,Owner,Under_Construction
6169,West Bengal,Kolkata,Locality_420,Apartment,1,3146,255.79,0.08,2019,Furnished,6,14,6,5,4,High,No,Yes,"Playground, Gym, Pool, Garden",North,Builder,Ready_to_Move
6170,Karnataka,Bangalore,Locality_440,Independent House,5,1520,366.45,0.24,2001,Unfurnished,13,22,24,10,9,Low,Yes,No,"Pool, Playground, Garden",West,Builder,Ready_to_Move
6171,Madhya Pradesh,Bhopal,Locality_350,Apartment,4,2884,421.34,0.15,1991,Unfurnished,20,30,34,7,2,Medium,Yes,No,"Gym, Clubhouse, Garden, Playground, Pool",South,Owner,Ready_to_Move
6172,Karnataka,Mysore,Locality_220,Apartment,1,3796,348.18,0.09,2014,Furnished,0,25,11,1,5,Low,No,No,"Clubhouse, Pool, Gym, Garden, Playground",North,Owner,Ready_to_Move
6173,West Bengal,Durgapur,Locality_165,Villa,5,4405,78.06,0.02,1997,Furnished,28,15,28,4,4,Low,Yes,Yes,"Garden, Playground, Clubhouse, Pool",North,Broker,Under_Construction
6174,Karnataka,Mysore,Locality_445,Independent House,5,2524,221.07,0.09,1998,Semi-furnished,7,5,27,3,9,Low,No,No,"Garden, Playground, Clubhouse, Gym",South,Broker,Under_Construction
6175,Jharkhand,Ranchi,Locality_46,Villa,3,1534,381.55,0.25,2000,Furnished,6,8,25,3,6,Medium,No,Yes,"Gym, Garden",East,Broker,Under_Construction
6176,Uttarakhand,Dehradun,Locality_227,Independent House,2,1338,167.67,0.13,2005,Semi-furnished,4,14,20,8,2,Low,Yes,No,"Playground, Clubhouse",West,Owner,Ready_to_Move
6177,Kerala,Trivandrum,Locality_457,Apartment,5,2204,496.34,0.23,1992,Furnished,6,19,33,2,6,Low,No,No,"Clubhouse, Gym, Garden, Playground, Pool",East,Builder,Under_Construction
6178,Haryana,Gurgaon,Locality_297,Apartment,2,2341,410.91,0.18,1999,Unfurnished,7,17,26,10,8,High,No,No,"Clubhouse, Pool, Playground, Garden, Gym",West,Broker,Ready_to_Move
6179,Delhi,Dwarka,Locality_377,Apartment,4,1059,318.98,0.3,2014,Unfurnished,28,28,11,8,7,High,Yes,Yes,Playground,West,Builder,Ready_to_Move
6180,Karnataka,Mysore,Locality_331,Apartment,2,1498,157.75,0.11,2011,Semi-furnished,29,7,14,9,3,High,Yes,No,"Gym, Garden, Clubhouse, Playground",West,Builder,Ready_to_Move
6181,Tamil Nadu,Chennai,Locality_120,Independent House,3,3210,430.9,0.13,1995,Unfurnished,6,14,30,10,7,Low,No,Yes,Garden,South,Broker,Under_Construction
6182,Telangana,Hyderabad,Locality_294,Villa,1,1218,45.24,0.04,2007,Furnished,6,2,18,1,10,Low,Yes,Yes,"Pool, Gym",South,Broker,Ready_to_Move
6183,Gujarat,Ahmedabad,Locality_382,Villa,3,3662,298.22,0.08,2016,Furnished,2,6,9,7,1,Low,No,Yes,Garden,North,Broker,Ready_to_Move
6184,Gujarat,Ahmedabad,Locality_137,Apartment,1,1219,80.75,0.07,2001,Unfurnished,9,10,24,9,1,Low,Yes,Yes,"Pool, Garden, Playground, Gym",South,Owner,Under_Construction
6185,Kerala,Kochi,Locality_8,Independent House,4,1514,102.83,0.07,2021,Semi-furnished,25,25,4,4,6,Medium,Yes,No,"Pool, Playground",North,Broker,Under_Construction
6186,Uttarakhand,Haridwar,Locality_168,Independent House,2,3552,215.57,0.06,2013,Unfurnished,30,8,12,4,8,Low,Yes,Yes,"Garden, Clubhouse, Pool, Gym, Playground",North,Broker,Ready_to_Move
6187,Uttarakhand,Haridwar,Locality_450,Independent House,2,1256,414.72,0.33,2001,Unfurnished,19,1,24,7,3,Medium,Yes,No,Pool,North,Owner,Under_Construction
6188,Jharkhand,Jamshedpur,Locality_29,Villa,3,723,441.2,0.61,1994,Furnished,21,3,31,4,6,Medium,Yes,No,"Clubhouse, Playground, Garden, Pool",North,Builder,Ready_to_Move
6189,Chhattisgarh,Raipur,Locality_47,Apartment,3,1255,388.21,0.31,2004,Furnished,28,3,21,4,7,High,Yes,Yes,"Gym, Garden, Clubhouse, Pool",West,Builder,Under_Construction
6190,Gujarat,Surat,Locality_377,Apartment,1,2985,392.91,0.13,2001,Furnished,8,6,24,6,8,High,No,Yes,Pool,West,Broker,Under_Construction
6191,Bihar,Gaya,Locality_108,Villa,1,4899,312.02,0.06,2006,Furnished,29,10,19,3,9,High,No,No,"Clubhouse, Playground, Garden",North,Broker,Ready_to_Move
6192,Jharkhand,Ranchi,Locality_499,Apartment,5,2438,126.88,0.05,2003,Semi-furnished,21,6,22,4,2,Medium,Yes,No,"Gym, Playground",North,Owner,Under_Construction
6193,Madhya Pradesh,Bhopal,Locality_85,Villa,1,3846,318.59,0.08,1991,Furnished,12,1,34,10,3,High,Yes,No,"Clubhouse, Playground",North,Broker,Ready_to_Move
6194,Karnataka,Bangalore,Locality_97,Villa,5,3627,342.24,0.09,2010,Unfurnished,10,25,15,1,4,Medium,No,Yes,"Gym, Playground, Clubhouse",North,Builder,Under_Construction
6195,Delhi,Dwarka,Locality_372,Apartment,1,3314,148.43,0.04,2009,Semi-furnished,14,15,16,1,5,High,Yes,Yes,"Pool, Playground, Gym",West,Builder,Ready_to_Move
6196,Kerala,Trivandrum,Locality_33,Villa,5,2088,122.34,0.06,2001,Semi-furnished,3,10,24,2,1,Medium,No,Yes,"Playground, Garden, Clubhouse",South,Broker,Ready_to_Move
6197,Haryana,Gurgaon,Locality_173,Apartment,4,3815,339.72,0.09,2012,Furnished,1,8,13,7,1,Medium,Yes,No,Pool,North,Owner,Under_Construction
6198,Madhya Pradesh,Indore,Locality_388,Villa,4,2548,151.01,0.06,1998,Unfurnished,22,23,27,5,3,Medium,Yes,No,"Playground, Clubhouse, Gym, Garden, Pool",East,Owner,Under_Construction
6199,Andhra Pradesh,Vishakhapatnam,Locality_469,Independent House,5,3595,307.24,0.09,2003,Unfurnished,25,30,22,3,5,Low,No,Yes,"Gym, Pool",West,Builder,Ready_to_Move
6200,Delhi,Dwarka,Locality_69,Independent House,5,4524,415.63,0.09,2000,Semi-furnished,29,30,25,2,6,Medium,No,Yes,Garden,North,Builder,Ready_to_Move
6201,Telangana,Hyderabad,Locality_384,Independent House,5,3707,342.14,0.09,2000,Semi-furnished,10,12,25,9,9,Low,Yes,Yes,"Pool, Clubhouse, Garden",East,Broker,Ready_to_Move
6202,Chhattisgarh,Bilaspur,Locality_41,Apartment,3,2455,117.14,0.05,1994,Furnished,12,30,31,10,1,Medium,No,Yes,"Clubhouse, Pool, Playground, Gym",East,Builder,Ready_to_Move
6203,Delhi,Dwarka,Locality_104,Apartment,2,2501,272.76,0.11,2004,Semi-furnished,14,3,21,2,8,Low,No,Yes,"Gym, Garden, Pool, Clubhouse, Playground",East,Broker,Ready_to_Move
6204,Kerala,Kochi,Locality_471,Independent House,3,2672,253.25,0.09,1994,Furnished,27,18,31,8,5,Low,No,Yes,"Garden, Clubhouse, Gym, Pool",East,Owner,Ready_to_Move
6205,Odisha,Cuttack,Locality_320,Apartment,1,4449,103.84,0.02,1997,Furnished,1,3,28,7,8,Medium,Yes,No,"Pool, Clubhouse, Gym, Playground, Garden",West,Owner,Ready_to_Move
6206,West Bengal,Durgapur,Locality_428,Villa,1,2485,154.48,0.06,2021,Furnished,25,17,4,8,9,High,No,No,"Pool, Clubhouse, Playground, Gym, Garden",South,Owner,Ready_to_Move
6207,Tamil Nadu,Chennai,Locality_379,Apartment,3,559,31.5,0.06,2010,Unfurnished,21,9,15,5,3,Medium,Yes,No,"Gym, Garden, Playground",South,Broker,Ready_to_Move
6208,Punjab,Ludhiana,Locality_167,Independent House,4,2303,89.63,0.04,1999,Furnished,28,26,26,8,5,High,Yes,No,"Pool, Gym",East,Builder,Under_Construction
6209,Haryana,Gurgaon,Locality_330,Villa,4,4357,258.79,0.06,2004,Furnished,20,30,21,2,6,Low,Yes,Yes,"Clubhouse, Playground, Garden, Gym, Pool",East,Broker,Under_Construction
6210,Assam,Guwahati,Locality_267,Villa,3,4783,188.67,0.04,2017,Unfurnished,28,11,8,5,3,Medium,Yes,Yes,"Clubhouse, Garden, Playground, Pool",North,Owner,Under_Construction
6211,Telangana,Hyderabad,Locality_131,Villa,2,1417,372.93,0.26,2015,Semi-furnished,6,3,10,7,1,High,No,No,"Pool, Clubhouse, Gym, Playground",East,Broker,Ready_to_Move
6212,Assam,Guwahati,Locality_347,Villa,2,4036,223.95,0.06,1998,Semi-furnished,20,30,27,4,9,High,Yes,No,Clubhouse,South,Owner,Ready_to_Move
